timestamp,source_ip,destination_ip,protocol,length,src_port,dst_port,eth_src_mac,eth_dst_mac,ip_ttl,eth_type,ip_version,ip_flags,tcp_flags,app_protocol,source,destination
2025-04-23 13:48:04,10.0.96.87,10.0.96.21,TCP,171.0,63921.0,8009.0,20:0b:74:19:ee:af,38:4b:76:f1:27:a8,128.0,IPv4 (0x0800),,,"0x018 (PSH, ACK)",,10.0.96.87,10.0.96.21
2025-04-23 13:48:04,10.0.96.21,10.0.96.87,TCP,175.0,8009.0,63921.0,38:4b:76:f1:27:a8,20:0b:74:19:ee:af,64.0,IPv4 (0x0800),,,"0x018 (PSH, ACK)",,10.0.96.21,10.0.96.87
2025-04-23 13:48:04,,,ARP,60.0,,,52:d2:75:e9:70:bb,ff:ff:ff:ff:ff:ff,,ARP (0x0806),,,,ARP,,
2025-04-23 13:48:04,10.0.96.87,10.0.96.21,TCP,54.0,63921.0,8009.0,20:0b:74:19:ee:af,38:4b:76:f1:27:a8,128.0,IPv4 (0x0800),,,0x010 (ACK),,10.0.96.87,10.0.96.21
2025-04-23 13:48:04,10.0.96.87,202.39.224.7,ICMP,58.0,,,20:0b:74:19:ee:af,84:39:8f:37:90:96,255.0,IPv4 (0x0800),,,,ICMP,10.0.96.87,202.39.224.7
2025-04-23 13:48:04,,,ARP,60.0,,,00:1e:67:12:df:48,ff:ff:ff:ff:ff:ff,,ARP (0x0806),,,,ARP,,
2025-04-23 13:48:04,,,ARP,60.0,,,bc:24:11:ac:f8:8a,ff:ff:ff:ff:ff:ff,,ARP (0x0806),,,,ARP,,
2025-04-23 13:48:04,,,ARP,60.0,,,00:1e:67:0c:33:24,ff:ff:ff:ff:ff:ff,,ARP (0x0806),,,,ARP,,
2025-04-23 13:48:04,10.0.96.87,10.0.96.103,TCP,171.0,64407.0,8009.0,20:0b:74:19:ee:af,38:4b:76:f1:36:fe,128.0,IPv4 (0x0800),,,"0x018 (PSH, ACK)",,10.0.96.87,10.0.96.103
2025-04-23 13:48:04,10.0.96.103,10.0.96.87,TCP,175.0,8009.0,64407.0,38:4b:76:f1:36:fe,20:0b:74:19:ee:af,64.0,IPv4 (0x0800),,,"0x018 (PSH, ACK)",,10.0.96.103,10.0.96.87
2025-04-23 13:48:04,,,ARP,60.0,,,52:d2:75:e9:70:bb,ff:ff:ff:ff:ff:ff,,ARP (0x0806),,,,ARP,,
2025-04-23 13:48:04,10.0.96.101,239.255.255.250,XML,698.0,54285.0,3702.0,d8:3b:bf:be:11:a3,01:00:5e:7f:ff:fa,1.0,IPv4 (0x0800),,,,XML,10.0.96.101,239.255.255.250
2025-04-23 13:48:04,,,ARP,60.0,,,bc:24:11:ac:f8:8a,ff:ff:ff:ff:ff:ff,,ARP (0x0806),,,,ARP,,
2025-04-23 13:48:04,10.0.96.87,10.0.96.103,TCP,54.0,64407.0,8009.0,20:0b:74:19:ee:af,38:4b:76:f1:36:fe,128.0,IPv4 (0x0800),,,0x010 (ACK),,10.0.96.87,10.0.96.103
2025-04-23 13:48:05,,,ARP,60.0,,,cc:79:d7:f1:6b:f0,ff:ff:ff:ff:ff:ff,,ARP (0x0806),,,,ARP,,
2025-04-23 13:48:05,10.0.96.8,239.255.255.250,SSDP,209.0,53557.0,1900.0,c4:03:a8:b0:42:4e,01:00:5e:7f:ff:fa,255.0,IPv4 (0x0800),,,,SSDP,10.0.96.8,239.255.255.250
2025-04-23 13:48:05,,,ARP,60.0,,,52:d2:75:e9:70:bb,ff:ff:ff:ff:ff:ff,,ARP (0x0806),,,,ARP,,
2025-04-23 13:48:05,,,ARP,60.0,,,52:d2:75:e9:70:bb,ff:ff:ff:ff:ff:ff,,ARP (0x0806),,,,ARP,,
2025-04-23 13:48:05,,,ARP,60.0,,,cc:6e:a4:13:02:0d,ff:ff:ff:ff:ff:ff,,ARP (0x0806),,,,ARP,,
2025-04-23 13:48:05,10.0.96.28,224.0.0.251,MDNS,89.0,5353.0,5353.0,04:7c:16:36:29:23,01:00:5e:00:00:fb,1.0,IPv4 (0x0800),,,,MDNS,10.0.96.28,224.0.0.251
2025-04-23 13:48:05,,,MDNS,109.0,5353.0,5353.0,04:7c:16:36:29:23,33:33:00:00:00:fb,,IPv6 (0x86dd),,,,MDNS,,
2025-04-23 13:48:05,10.0.96.123,224.0.0.251,MDNS,126.0,5353.0,5353.0,38:4b:76:f1:36:f5,01:00:5e:00:00:fb,255.0,IPv4 (0x0800),,,,MDNS,10.0.96.123,224.0.0.251
2025-04-23 13:48:05,10.0.96.126,224.0.0.251,MDNS,126.0,5353.0,5353.0,38:4b:76:09:98:b1,01:00:5e:00:00:fb,255.0,IPv4 (0x0800),,,,MDNS,10.0.96.126,224.0.0.251
2025-04-23 13:48:05,10.0.96.60,224.0.0.251,MDNS,89.0,5353.0,5353.0,7c:70:db:ac:bc:37,01:00:5e:00:00:fb,1.0,IPv4 (0x0800),,,,MDNS,10.0.96.60,224.0.0.251
2025-04-23 13:48:05,,,MDNS,109.0,5353.0,5353.0,7c:70:db:ac:bc:37,33:33:00:00:00:fb,,IPv6 (0x86dd),,,,MDNS,,
2025-04-23 13:48:05,10.0.96.60,224.0.0.251,MDNS,89.0,5353.0,5353.0,7c:70:db:ac:bc:37,01:00:5e:00:00:fb,1.0,IPv4 (0x0800),,,,MDNS,10.0.96.60,224.0.0.251
2025-04-23 13:48:05,,,MDNS,109.0,5353.0,5353.0,7c:70:db:ac:bc:37,33:33:00:00:00:fb,,IPv6 (0x86dd),,,,MDNS,,
2025-04-23 13:48:05,10.0.96.21,224.0.0.251,MDNS,126.0,5353.0,5353.0,38:4b:76:f1:27:a8,01:00:5e:00:00:fb,255.0,IPv4 (0x0800),,,,MDNS,10.0.96.21,224.0.0.251
2025-04-23 13:48:05,10.0.96.28,224.0.0.251,MDNS,89.0,5353.0,5353.0,04:7c:16:36:29:23,01:00:5e:00:00:fb,1.0,IPv4 (0x0800),,,,MDNS,10.0.96.28,224.0.0.251
2025-04-23 13:48:05,,,MDNS,109.0,5353.0,5353.0,04:7c:16:36:29:23,33:33:00:00:00:fb,,IPv6 (0x86dd),,,,MDNS,,
2025-04-23 13:48:05,10.0.96.147,224.0.0.251,MDNS,126.0,5353.0,5353.0,38:4b:76:f1:27:5e,01:00:5e:00:00:fb,255.0,IPv4 (0x0800),,,,MDNS,10.0.96.147,224.0.0.251
2025-04-23 13:48:05,,,ARP,60.0,,,00:e0:4c:68:06:e2,ff:ff:ff:ff:ff:ff,,ARP (0x0806),,,,ARP,,
2025-04-23 13:48:05,10.0.96.199,224.0.0.251,MDNS,126.0,5353.0,5353.0,38:4b:76:09:98:df,01:00:5e:00:00:fb,255.0,IPv4 (0x0800),,,,MDNS,10.0.96.199,224.0.0.251
2025-04-23 13:48:05,10.0.96.76,224.0.0.251,MDNS,126.0,5353.0,5353.0,38:4b:76:09:98:e3,01:00:5e:00:00:fb,255.0,IPv4 (0x0800),,,,MDNS,10.0.96.76,224.0.0.251
2025-04-23 13:48:05,,,ARP,60.0,,,00:1e:67:0b:b6:88,ff:ff:ff:ff:ff:ff,,ARP (0x0806),,,,ARP,,
2025-04-23 13:48:05,,,ARP,60.0,,,00:1e:67:12:df:48,ff:ff:ff:ff:ff:ff,,ARP (0x0806),,,,ARP,,
2025-04-23 13:48:05,,,ARP,56.0,,,c4:03:a8:b0:42:4e,20:0b:74:19:ee:af,,ARP (0x0806),,,,ARP,,
2025-04-23 13:48:05,,,ARP,42.0,,,20:0b:74:19:ee:af,c4:03:a8:b0:42:4e,,ARP (0x0806),,,,ARP,,
2025-04-23 13:48:05,10.0.96.87,20.42.65.84,TLS,172.0,64528.0,443.0,20:0b:74:19:ee:af,84:39:8f:37:90:96,128.0,IPv4 (0x0800),,,"0x018 (PSH, ACK)",TLS,10.0.96.87,20.42.65.84
2025-04-23 13:48:05,10.0.96.87,20.42.65.84,TLS,1494.0,64528.0,443.0,20:0b:74:19:ee:af,84:39:8f:37:90:96,128.0,IPv4 (0x0800),,,0x010 (ACK),TLS,10.0.96.87,20.42.65.84
2025-04-23 13:48:05,10.0.96.87,20.42.65.84,TCP,1494.0,64528.0,443.0,20:0b:74:19:ee:af,84:39:8f:37:90:96,128.0,IPv4 (0x0800),,,0x010 (ACK),,10.0.96.87,20.42.65.84
2025-04-23 13:48:05,10.0.96.87,20.42.65.84,TLS,1448.0,64528.0,443.0,20:0b:74:19:ee:af,84:39:8f:37:90:96,128.0,IPv4 (0x0800),,,"0x018 (PSH, ACK)",,10.0.96.87,20.42.65.84
2025-04-23 13:48:05,10.0.96.75,239.255.255.250,DATA,77.0,42549.0,15600.0,cc:6e:a4:13:02:0d,01:00:5e:7f:ff:fa,64.0,IPv4 (0x0800),,,,,10.0.96.75,239.255.255.250
2025-04-23 13:48:05,20.42.65.84,10.0.96.87,TCP,60.0,443.0,64528.0,00:a0:57:47:f0:4b,20:0b:74:19:ee:af,108.0,IPv4 (0x0800),,,0x010 (ACK),,20.42.65.84,10.0.96.87
2025-04-23 13:48:05,20.42.65.84,10.0.96.87,TCP,60.0,443.0,64528.0,00:a0:57:47:f0:4b,20:0b:74:19:ee:af,108.0,IPv4 (0x0800),,,0x010 (ACK),,20.42.65.84,10.0.96.87
2025-04-23 13:48:05,20.42.65.84,10.0.96.87,TLS,153.0,443.0,64528.0,84:39:8f:37:90:96,20:0b:74:19:ee:af,108.0,IPv4 (0x0800),,,"0x018 (PSH, ACK)",TLS,20.42.65.84,10.0.96.87
2025-04-23 13:48:05,10.0.96.101,239.255.255.250,XML,698.0,54285.0,3702.0,d8:3b:bf:be:11:a3,01:00:5e:7f:ff:fa,1.0,IPv4 (0x0800),,,,XML,10.0.96.101,239.255.255.250
2025-04-23 13:48:05,10.0.96.8,224.0.0.251,MDNS,79.0,5353.0,5353.0,c4:03:a8:b0:42:4e,01:00:5e:00:00:fb,255.0,IPv4 (0x0800),,,,MDNS,10.0.96.8,224.0.0.251
2025-04-23 13:48:05,10.0.96.51,224.0.0.251,MDNS,94.0,5353.0,5353.0,38:4b:76:f1:59:d6,01:00:5e:00:00:fb,255.0,IPv4 (0x0800),,,,MDNS,10.0.96.51,224.0.0.251
2025-04-23 13:48:05,10.0.96.123,224.0.0.251,MDNS,94.0,5353.0,5353.0,38:4b:76:f1:36:f5,01:00:5e:00:00:fb,255.0,IPv4 (0x0800),,,,MDNS,10.0.96.123,224.0.0.251
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
